id,sq_mt_built,n_rooms,n_bathrooms,buy_price,buy_price_by_area,district
21525,115,3,1,154900,1347,San Andrés
21524,63,2,1,82260,1306,San Cristóbal
21523,72,3,1,139400,1936,Villaverde
21522,100,2,2,154900,1549,San Andrés
21521,90,3,2,155000,1722,San Andrés
21520,66,3,1,88000,1333,San Cristóbal
21519,102,3,2,225000,2206,Los Ángeles
21518,105,2,1,189000,1800,Villaverde
21517,95,4,1,138000,1453,Los Rosales
21516,120,3,1,195000,1625,Los Ángeles
21515,90,3,2,222000,2467,Butarque
21514,64,3,1,80500,1258,Los Rosales
21513,80,3,1,182000,2275,Los Ángeles
21512,120,3,2,295000,2458,San Andrés
21511,82,2,2,270000,3293,Los Ángeles
21510,81,3,1,116100,1433,Butarque
21509,103,3,2,250000,2427,Los Rosales
21508,63,3,1,79900,1268,Villaverde
21507,70,3,1,99000,1414,San Cristóbal
21506,60,3,1,74550,1242,San Cristóbal
21505,45,2,1,105000,2333,Villaverde
21504,95,3,1,130000,1368,Los Rosales
21503,70,3,1,120000,1714,Los Rosales
21502,71,3,1,149000,2099,Los Rosales
21501,70,3,1,135000,1929,Los Rosales
21500,98,4,2,230000,2347,Los Rosales
21499,55,3,1,91000,1655,Los Ángeles
21498,115,4,1,184900,1608,Los Rosales
21497,78,3,1,127000,1628,San Andrés
21496,68,3,1,83900,1234,San Cristóbal
21495,120,3,1,180000,1500,San Andrés
21494,64,3,1,76000,1188,San Cristóbal
21493,92,4,1,163000,1772,Los Ángeles
21492,154,3,2,280000,1818,Butarque
21491,105,3,2,180000,1714,Los Rosales
21490,70,2,1,128000,1829,Villaverde
21489,93,3,1,166200,1787,Villaverde
21488,53,3,1,114300,2157,Los Rosales
21487,86,3,1,129000,1500,Villaverde
21486,75,3,2,132000,1760,Villaverde
21485,85,3,1,135000,1588,Villaverde
21484,65,2,1,99000,1523,Villaverde
21483,53,3,1,114300,2157,Los Rosales
21482,68,3,1,88000,1294,San Cristóbal
21481,75,3,1,110000,1467,Los Ángeles
21480,83,2,1,146000,1759,San Andrés
21479,95,3,1,112000,1179,San Andrés
21478,30,1,1,59000,1967,San Cristóbal
21477,53,1,1,146000,2755,Butarque
21476,125,3,3,275000,2200,Butarque
21475,153,4,2,178000,1163,Villaverde
21474,86,3,1,129000,1500,Villaverde
21473,66,2,1,96000,1455,San Cristóbal
21472,63,3,1,82000,1302,San Cristóbal
21471,59,2,1,126900,2151,Los Rosales
21470,95,3,1,199000,2095,Villaverde
21469,65,2,1,232000,3569,San Andrés
21468,69,2,1,240000,3478,San Andrés
21467,115,4,2,330000,2870,Los Rosales
21466,60,3,1,120000,2000,San Andrés
21465,90,3,2,172000,1911,San Andrés
21464,60,3,1,82260,1371,Villaverde
21463,65,2,1,109000,1677,Los Ángeles
21462,115,4,1,133000,1157,Los Ángeles
21461,83,3,2,111000,1337,San Cristóbal
21460,55,2,1,110000,2000,San Andrés
21459,80,2,2,179990,2250,Villaverde
21458,68,3,1,156000,2294,San Andrés
21457,89,2,2,228000,2562,San Andrés
21456,61,3,1,89000,1459,San Cristóbal
21455,67,3,1,119000,1776,Los Ángeles
21454,68,3,1,94000,1382,San Cristóbal
21453,92,3,2,175000,1902,Villaverde
21452,70,3,1,90000,1286,Villaverde
21451,63,3,1,167000,2651,Los Rosales
21450,57,3,1,96000,1684,Villaverde
21449,63,3,1,84000,1333,San Andrés
21448,52,2,1,101000,1942,Los Ángeles
21447,125,3,2,210000,1680,Los Rosales
21446,125,3,3,275000,2200,Butarque
21445,75,3,1,131400,1752,Los Rosales
21444,71,3,1,131400,1851,San Andrés
21443,80,3,1,95000,1188,Villaverde
21442,66,3,1,93000,1409,Villaverde
21441,95,2,2,154500,1626,San Andrés
21440,61,3,1,100000,1639,Butarque
21439,42,4,1,95900,2283,San Cristóbal
21438,85,3,1,154900,1822,Villaverde
21437,80,2,1,115000,1438,Los Ángeles
21436,55,2,1,96000,1745,Los Rosales
21434,60,2,1,95000,1583,San Cristóbal
21433,55,3,1,78000,1418,Villaverde
21432,93,3,1,128500,1382,Villaverde
21431,55,2,1,95000,1727,Villaverde
21430,82,3,1,83900,1023,San Cristóbal
21429,53,2,1,96000,1811,Los Rosales
21428,69,2,1,118600,1719,San Andrés
21427,58,2,1,118000,2034,Los Rosales
21426,70,2,1,202000,2886,Los Rosales
21425,47,1,1,144000,3064,Los Rosales
21424,64,2,1,98968,1546,Los Rosales
21423,50,2,1,105000,2100,Los Rosales
21422,103,3,2,265000,2573,Butarque
21421,90,3,2,290000,3222,Butarque
21420,66,2,1,90000,1364,Butarque
21419,70,2,1,75000,1071,San Andrés
21418,60,2,1,125000,2083,San Andrés
21417,101,2,2,255000,2525,Butarque
21416,75,3,1,117300,1564,San Andrés
21415,55,2,1,96600,1756,San Andrés
21414,77,3,1,119000,1545,Los Ángeles
21413,56,3,1,100000,1786,Los Rosales
21412,68,3,1,97000,1426,Butarque
21411,72,3,1,95000,1319,Los Rosales
21410,70,3,1,135000,1929,San Andrés
21409,75,2,2,195000,2600,Los Rosales
21408,120,3,1,195000,1625,San Andrés
21407,91,2,2,215000,2363,San Andrés
21406,95,2,1,122000,1284,San Andrés
21405,61,3,1,125000,2049,Los Ángeles
21404,73,2,1,120000,1644,Los Rosales
21403,66,3,1,93000,1409,San Andrés
21402,68,2,1,125000,1838,Los Ángeles
21401,70,3,1,104840,1498,San Andrés
21400,42,4,1,95900,2283,San Cristóbal
21399,54,3,1,71000,1315,Los Ángeles
21398,56,3,1,105000,1875,Los Rosales
21397,100,4,1,165000,1650,Los Ángeles
21396,125,4,2,173000,1384,Los Ángeles
21395,54,3,1,71000,1315,Los Ángeles
21394,130,4,2,168000,1292,San Cristóbal
21393,68,2,1,99900,1469,Los Ángeles
21392,85,3,1,128000,1506,Villaverde
21391,75,3,1,120000,1600,San Andrés
21390,80,2,1,95000,1188,Los Ángeles
21389,64,2,1,110000,1719,San Cristóbal
21388,69,4,1,85900,1245,San Cristóbal
21387,115,4,1,184900,1608,Los Rosales
21386,70,3,1,142500,2036,San Cristóbal
21385,56,2,1,109000,1946,Villaverde
21384,90,2,1,140000,1556,San Andrés
21383,75,3,1,117300,1564,San Andrés
21382,71,2,1,120000,1690,Los Rosales
21381,76,3,1,110000,1447,San Cristóbal
21380,114,4,2,299000,2623,San Andrés
21379,90,3,2,180000,2000,San Andrés
21378,70,3,1,85000,1214,San Cristóbal
21377,80,3,1,100000,1250,San Andrés
21376,96,4,2,170000,1771,Los Ángeles
21375,50,1,1,125000,2500,Butarque
21374,85,3,2,230000,2706,Los Rosales
21373,90,3,2,300000,3333,Butarque
21372,60,3,1,120000,2000,San Cristóbal
21371,90,2,2,240000,2667,San Andrés
21370,60,3,1,140000,2333,San Cristóbal
21369,105,3,2,135000,1286,Los Ángeles
21368,140,3,3,340000,2429,Butarque
21367,112,3,2,230000,2054,San Andrés
21366,60,3,1,145000,2417,San Cristóbal
21365,62,2,1,142450,2298,Los Rosales
21364,240,4,3,580000,2417,San Andrés
21363,81,3,1,160000,1975,Los Ángeles
21362,75,3,1,180000,2400,Los Rosales
21361,72,3,1,130000,1806,San Andrés
21360,95,2,2,250000,2632,Butarque
21359,49,1,1,190000,3878,San Andrés
21358,90,3,1,169000,1878,San Andrés
21357,78,2,1,168000,2154,San Andrés
21356,100,3,1,210000,2100,San Andrés
21355,70,3,1,95000,1357,Villaverde
21354,52,2,1,74800,1438,Villaverde
21353,56,3,1,78000,1393,Villaverde
21352,110,3,2,189000,1718,San Andrés
21351,115,3,3,245000,2130,Butarque
21350,70,3,1,97000,1386,Villaverde
21349,75,3,1,155000,2067,San Cristóbal
21348,116,4,2,170000,1466,Los Ángeles
21347,48,2,1,120000,2500,Butarque
21346,80,3,1,125000,1562,Los Rosales
21345,81,3,1,139500,1722,Butarque
21344,95,4,2,198000,2084,Los Ángeles
21343,60,4,1,75000,1250,San Cristóbal
21342,50,2,1,123000,2460,San Andrés
21341,50,1,1,148000,2960,San Andrés
21340,242,4,3,380000,1570,San Andrés
21339,166,3,1,300000,1807,Los Rosales
21338,50,2,1,140000,2800,San Andrés
21337,94,4,1,190000,2021,Los Ángeles
21336,80,3,1,150000,1875,Los Ángeles
21335,65,2,1,110000,1692,Los Rosales
21334,105,3,2,190000,1810,San Andrés
21333,100,3,1,142000,1420,Los Ángeles
21332,64,3,1,95000,1484,Villaverde
21331,85,2,2,229000,2694,Villaverde
21330,72,3,1,140000,1944,San Andrés
